(-0.47815898060798645, 6.9983134269714355, 2.8841960430145264)
(-0.4781590402126312, 6.873950958251953, 2.732659339904785)
(-0.4781588912010193, 6.781540870666504, 2.5597727298736572)
(-0.5865453481674194, 7.160524845123291, 3.008558750152588)
(-0.6161086559295654, 7.011900424957275, 2.8841960430145264)
(-0.6583988666534424, 6.79929256439209, 2.5597727298736572)
(-0.6695007085800171, 6.743480682373047, 2.3721795082092285)
(-0.690766453742981, 7.192140102386475, 3.008558750152588)
(-0.8534892201423645, 6.799293041229248, 2.3721795082092285)
(-0.8608425259590149, 6.781540870666504, 2.177089214324951)
(-0.7868172526359558, 7.243480205535889, 3.008558750152588)
(-1.0337293148040771, 6.873950481414795, 2.177089214324951)
(-0.8710064888000488, 7.312572479248047, 3.008558750152588)
(-1.1852657794952393, 6.9983134269714355, 2.177089214324951)
(-0.940098762512207, 7.396761894226074, 3.008558750152588)
(-1.293651819229126, 7.160525321960449, 2.3721795082092285)
(-1.3096286058425903, 7.149849891662598, 2.177089214324951)
(-0.9914389252662659, 7.492812633514404, 3.008558750152588)
(-1.1314404010772705, 7.434822082519531, 2.8841960430145264)
(-1.3842861652374268, 7.330090045928955, 2.3721795082092285)
(-1.1716787815093994, 7.567470550537109, 2.8841960430145264)
(-1.293651819229126, 7.543208599090576, 2.732659339904785)
(-1.3842864036560059, 7.525180339813232, 2.5597727298736572)
(-1.4400982856750488, 7.514078617095947, 2.3721795082092285)
